,state,id,city
241,Madhya Pradesh,468,Mandla
395,Tamil Nadu,469,Nagercoil
238,Madhya Pradesh,470,Katni
408,Tamil Nadu,471,Tirunelveli
412,Tamil Nadu,471,Vellore
236,Madhya Pradesh,472,Jabalpur
87,Delhi,473,Saket
406,Tamil Nadu,474,Thoothukudi
414,Tamil Nadu,475,Virudhunagar
404,Tamil Nadu,476,Theni
226,Madhya Pradesh,477,Damoh
393,Tamil Nadu,478,Madurai
402,Tamil Nadu,479,Sivaganga
389,Tamil Nadu,480,Dindigul
399,Tamil Nadu,482,Pudukkottai
263,Madhya Pradesh,483,Umaria
418,Telangana,484,Mahabubnagar
398,Tamil Nadu,485,Perambalur
419,Telangana,486,Nalgonda
384,Tamil Nadu,487,Ariyalur
417,Telangana,488,Khammam
422,Telangana,489,Warangal
416,Telangana,490,Karimnagar
420,Telangana,491,Nizamabad
407,Tamil Nadu,492,Tiruchirappalli
415,Telangana,493,Adilabad
421,Telangana,494,Sangareddy
403,Tamil Nadu,495,Thanjavur
411,Tamil Nadu,496,Tiruvarur
244,Madhya Pradesh,497,Narsinghpur
394,Tamil Nadu,498,Nagapattinam
264,Madhya Pradesh,499,Vidisha
392,Tamil Nadu,500,Karur
396,Tamil Nadu,501,Namakkal
239,Madhya Pradesh,502,Khandwa
401,Tamil Nadu,503,Salem
388,Tamil Nadu,504,Dharmapuri
253,Madhya Pradesh,505,Sehore
390,Tamil Nadu,506,Erode
409,Tamil Nadu,507,Tiruppur
234,Madhya Pradesh,508,Hoshangabad
386,Tamil Nadu,509,Coimbatore
397,Tamil Nadu,511,Ooty
387,Tamil Nadu,512,Cuddalore
220,Madhya Pradesh,513,Betul
413,Tamil Nadu,514,Viluppuram
410,Tamil Nadu,515,Tiruvannamalai
225,Madhya Pradesh,516,Chhindwara
254,Madhya Pradesh,518,Seoni
391,Tamil Nadu,519,Kanchipuram
405,Tamil Nadu,520,Thiruvallur
218,Madhya Pradesh,521,Balaghat
219,Madhya Pradesh,525,Barwani
216,Madhya Pradesh,526,Alirajpur
237,Madhya Pradesh,527,Jhabua
229,Madhya Pradesh,528,Dhar
223,Madhya Pradesh,531,Burhanpur
245,Madhya Pradesh,532,Neemuch
242,Madhya Pradesh,533,Mandsaur
240,Madhya Pradesh,534,Khargone
256,Madhya Pradesh,535,Shajapur
248,Madhya Pradesh,536,Rajgarh
62,Chhattisgarh,562,Bijapur
177,Karnataka,576,Belgaum
187,Karnataka,577,Gulbarga
355,Rajasthan,609,Barmer
368,Rajasthan,610,Jaisalmer
83,Delhi,657,Kanjhawala
400,Tamil Nadu,658,Ramanathapuram
455,Uttar Pradesh,659,Jyotiba Phule Nagar
456,Uttar Pradesh,659,Kannauj
464,Uttar Pradesh,660,Mahamaya Nagar
465,Uttar Pradesh,660,Maharajganj
141,Himachal Pradesh,661,Una
285,Maharashtra,662,Nandurbar
74,Chhattisgarh,664,Narayanpur
212,Kerala,665,Pandakkal
150,Jammu and Kashmir,668,Leh
148,Jammu and Kashmir,669,Kishtwar
149,Jammu and Kashmir,670,Kupwara
143,Jammu and Kashmir,671,Badgam
144,Jammu and Kashmir,672,Doda
151,Jammu and Kashmir,673,Poonch
152,Jammu and Kashmir,674,Rajauri
153,Jammu and Kashmir,676,Samba
142,Jammu and Kashmir,678,Anantnag
147,Jammu and Kashmir,679,Kathua
156,Jammu and Kashmir,680,Udhampur
